	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Taxid_domain	SpeciesName	Cultured	Isolated	Collection
GCF_003431145.1	PRJNA224116	SAMN06921770	QVVV00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN063786		latest	Contig	Major	Full	2018/08/28	CFSAN063786	Center for Food Safety and Applied Nutrition	GCA_003431145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/145/GCF_003431145.1_CFSAN063786			2.0		True	True	
GCF_003431165.1	PRJNA224116	SAMN06921748	QVVZ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN063779		latest	Contig	Major	Full	2018/08/28	CFSAN063779	Center for Food Safety and Applied Nutrition	GCA_003431165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/165/GCF_003431165.1_CFSAN063779			2.0		True	True	
GCF_003431175.1	PRJNA224116	SAMN06921772	QVVW00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN063784		latest	Contig	Major	Full	2018/08/28	CFSAN063784	Center for Food Safety and Applied Nutrition	GCA_003431175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/175/GCF_003431175.1_CFSAN063784			2.0		True	True	
GCF_003431195.1	PRJNA224116	SAMN06921749	QVVX00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN063781		latest	Contig	Major	Full	2018/08/28	CFSAN063781	Center for Food Safety and Applied Nutrition	GCA_003431195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/195/GCF_003431195.1_CFSAN063781			2.0		True	True	
GCF_003431225.1	PRJNA224116	SAMN06921750	QVVY00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN063780		latest	Contig	Major	Full	2018/08/28	CFSAN063780	Center for Food Safety and Applied Nutrition	GCA_003431225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/225/GCF_003431225.1_CFSAN063780			2.0		True	True	
GCF_003546685.2	PRJNA224116	SAMN08916484	QBIV00000000.1	na	1548018	1548018.0	Helicobacter saguini	strain=15-1458 (F3)		latest	Contig	Major	Full	2019/12/28	ASM354668v2	MIT	GCA_003546685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/685/GCF_003546685.2_ASM354668v2			2.0		True	True	
GCF_003546725.2	PRJNA224116	SAMN08916485	QBIU00000000.1	na	1548018	1548018.0	Helicobacter saguini	strain=16-048 (F4)		latest	Scaffold	Major	Full	2019/12/28	ASM354672v2	MIT	GCA_003546725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/725/GCF_003546725.2_ASM354672v2			2.0		True	True	
GCF_003546745.2	PRJNA224116	SAMN08916483	QBIW00000000.1	na	1548018	1548018.0	Helicobacter saguini	strain=15-1416 (F2)		latest	Scaffold	Major	Full	2019/12/28	ASM354674v2	MIT	GCA_003546745.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/745/GCF_003546745.2_ASM354674v2			2.0		True	True	
GCF_003576085.1	PRJNA224116	SAMN09901708	QWMU00000000.1	na	1622	1622.0	Lactobacillus murinus	strain=510-9		latest	Contig	Major	Full	2018/09/19	ASM357608v1	Chinese Academy of Science	GCA_003576085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/576/085/GCF_003576085.1_ASM357608v1			2.0		True	True	mGMB
GCF_003586045.1	PRJNA224116	SAMN06445833		na	1392854	562.0	Escherichia coli M8	strain=M8		latest	Complete Genome	Major	Full	2017/03/06	E.coli isolate	NIHS	GCA_003586045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/586/045/GCF_003586045.1_E.coli_isolate			2.0		True	True	
GCF_003611745.1	PRJNA224116	SAMN10024826	RAYF00000000.1	representative genome	2320117	2320117.0	bacterium D16-36	strain=D16-36		latest	Contig	Major	Full	2018/10/04	ASM361174v1	Chinese Academy of Science	GCA_003611745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/745/GCF_003611745.1_ASM361174v1			2.0		True	True	mGMB
GCF_003611765.1	PRJNA224116	SAMN10024824	RAYH00000000.1	na	1747	1747.0	Cutibacterium acnes	strain=C-45		latest	Contig	Major	Full	2018/10/04	ASM361176v1	Chinese Academy of Science	GCA_003611765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/765/GCF_003611765.1_ASM361176v1			2.0		True	True	mGMB
GCF_003611795.1	PRJNA224116	SAMN10024822	RAYJ00000000.1	na	29363	29363.0	Clostridium paraputrificum	strain=28-X28		latest	Contig	Major	Full	2018/10/04	ASM361179v1	Chinese Academy of Science	GCA_003611795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/795/GCF_003611795.1_ASM361179v1			2.0		True	True	mGMB
GCF_003611805.1	PRJNA224116	SAMN10024816	RAYM00000000.1	representative genome	2320113	2320113.0	bacterium 1xD42-87	strain=1xD42-87		latest	Contig	Major	Full	2018/10/04	ASM361180v1	Chinese Academy of Science	GCA_003611805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/805/GCF_003611805.1_ASM361180v1			2.0		True	True	mGMB
GCF_003611835.1	PRJNA224116	SAMN10024815	RAYN00000000.1	na	2320084	2320084.0	Clostridium sp. 1xD42-85	strain=1xD42-85		latest	Contig	Major	Full	2018/10/04	ASM361183v1	Chinese Academy of Science	GCA_003611835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/835/GCF_003611835.1_ASM361183v1			2.0		True	True	mGMB
GCF_003611875.1	PRJNA224116	SAMN10024802	RAYY00000000.1	representative genome	2320105	2320105.0	bacterium D16-56	strain=D16-56		latest	Contig	Major	Full	2018/10/04	ASM361187v1	Chinese Academy of Science	GCA_003611875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/875/GCF_003611875.1_ASM361187v1			2.0		True	True	mGMB
GCF_003611905.1	PRJNA224116	SAMN10024801	RAYZ00000000.1	representative genome	2320104	2320104.0	bacterium D16-54	strain=D16-54		latest	Contig	Major	Full	2018/10/04	ASM361190v1	Chinese Academy of Science	GCA_003611905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/905/GCF_003611905.1_ASM361190v1			2.0		True	True	mGMB
GCF_003611955.1	PRJNA224116	SAMN10024795	RAZE00000000.1	representative genome	2320115	2320115.0	bacterium 1XD8-76	strain=1XD8-76		latest	Contig	Major	Full	2018/10/04	ASM361195v1	Chinese Academy of Science	GCA_003611955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/955/GCF_003611955.1_ASM361195v1			2.0		True	True	mGMB
GCF_003612265.1	PRJNA224116	SAMN10024829	RAYC00000000.1	na	1428	1428.0	Bacillus thuringiensis	strain=c-21		latest	Contig	Major	Full	2018/10/04	ASM361226v1	Chinese Academy of Science	GCA_003612265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/265/GCF_003612265.1_ASM361226v1			2.0		True	True	mGMB
GCF_003612285.1	PRJNA224116	SAMN10024827	RAYE00000000.1	representative genome	2320097	2320097.0	bacterium D16-51	strain=D16-51		latest	Contig	Major	Full	2018/10/04	ASM361228v1	Chinese Academy of Science	GCA_003612285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/285/GCF_003612285.1_ASM361228v1			2.0		True	True	mGMB
GCF_003612315.1	PRJNA224116	SAMN10024828	RAYD00000000.1	representative genome	2320098	2320098.0	bacterium D16-59	strain=D16-59		latest	Contig	Major	Full	2018/10/04	ASM361231v1	Chinese Academy of Science	GCA_003612315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/315/GCF_003612315.1_ASM361231v1			2.0		True	True	mGMB
GCF_003612335.1	PRJNA224116	SAMN10024814	RAYO00000000.1	representative genome	2320107	2320107.0	bacterium 1xD42-67	strain=1xD42-67		latest	Contig	Major	Full	2018/10/04	ASM361233v1	Chinese Academy of Science	GCA_003612335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/335/GCF_003612335.1_ASM361233v1			2.0		True	True	mGMB
GCF_003612345.1	PRJNA224116	SAMN10024818	RAYL00000000.1	na	2320085	2320085.0	Negativibacillus sp. 1xD8-3	strain=1xD8-3		latest	Contig	Major	Full	2018/10/04	ASM361234v1	Chinese Academy of Science	GCA_003612345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/345/GCF_003612345.1_ASM361234v1			2.0		True	True	mGMB
GCF_003612355.1	PRJNA224116	SAMN10024819	RAYK00000000.1	representative genome	2320116	2320116.0	bacterium 1xD8-6	strain=1xD8-6		latest	Contig	Major	Full	2018/10/04	ASM361235v1	Chinese Academy of Science	GCA_003612355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/355/GCF_003612355.1_ASM361235v1			2.0		True	True	mGMB
GCF_003612395.1	PRJNA224116	SAMN10024811	RAYQ00000000.1	representative genome	2320100	2320100.0	bacterium 0.1xD8-82	strain=0.1xD8-82		latest	Contig	Major	Full	2018/10/04	ASM361239v1	Chinese Academy of Science	GCA_003612395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/395/GCF_003612395.1_ASM361239v1			2.0		True	True	mGMB
GCF_003612405.1	PRJNA224116	SAMN10024810	RAYR00000000.1	representative genome	2320099	2320099.0	bacterium 0.1xD8-71	strain=0.1xD8-71		latest	Contig	Major	Full	2018/10/04	ASM361240v1	Chinese Academy of Science	GCA_003612405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/405/GCF_003612405.1_ASM361240v1			2.0		True	True	mGMB
GCF_003612445.1	PRJNA224116	SAMN10024806	RAYV00000000.1	na	1694	1694.0	Bifidobacterium pseudolongum	strain=WYJ21-P61		latest	Contig	Major	Full	2018/10/04	ASM361244v1	Chinese Academy of Science	GCA_003612445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/445/GCF_003612445.1_ASM361244v1			2.0		True	True	mGMB
GCF_003612475.1	PRJNA224116	SAMN10024803	RAYX00000000.1	representative genome	2320119	2320119.0	bacterium D16-63	strain=D16-63		latest	Contig	Major	Full	2018/10/04	ASM361247v1	Chinese Academy of Science	GCA_003612475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/475/GCF_003612475.1_ASM361247v1			2.0		True	True	mGMB
GCF_003612485.1	PRJNA224116	SAMN10024800	RAZA00000000.1	representative genome	2320112	2320112.0	bacterium D16-50	strain=D16-50		latest	Contig	Major	Full	2018/10/04	ASM361248v1	Chinese Academy of Science	GCA_003612485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/485/GCF_003612485.1_ASM361248v1			2.0		True	True	mGMB
GCF_003612515.1	PRJNA224116	SAMN10024799	RAZB00000000.1	representative genome	2320120	2320120.0	bacterium D16-34	strain=D16-34		latest	Contig	Major	Full	2018/10/04	ASM361251v1	Chinese Academy of Science	GCA_003612515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/515/GCF_003612515.1_ASM361251v1			2.0		True	True	mGMB
GCF_003612525.1	PRJNA224116	SAMN10024797	RAZD00000000.1	representative genome	2320109	2320109.0	bacterium C-53	strain=C-53		latest	Contig	Major	Full	2018/10/04	ASM361252v1	Chinese Academy of Science	GCA_003612525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/525/GCF_003612525.1_ASM361252v1			2.0		True	True	mGMB
GCF_003612555.1	PRJNA224116	SAMN10024794	RAZF00000000.1	na	2320081	2320081.0	Acutalibacter sp. 1XD8-33	strain=1XD8-33		latest	Contig	Major	Full	2018/10/04	ASM361255v1	Chinese Academy of Science	GCA_003612555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/555/GCF_003612555.1_ASM361255v1			2.0		True	True	mGMB
GCF_003612565.1	PRJNA224116	SAMN10024793	RAZG00000000.1	na	2320088	2320088.0	Roseburia sp. 1XD42-69	strain=1XD42-69		latest	Contig	Major	Full	2018/10/04	ASM361256v1	Chinese Academy of Science	GCA_003612565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/565/GCF_003612565.1_ASM361256v1			2.0		True	True	mGMB
GCF_003612585.1	PRJNA224116	SAMN10024792	RAZH00000000.1	representative genome	2320110	2320110.0	bacterium 1XD42-54	strain=1XD42-54		latest	Contig	Major	Full	2018/10/04	ASM361258v1	Chinese Academy of Science	GCA_003612585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/585/GCF_003612585.1_ASM361258v1			2.0		True	True	mGMB
GCF_003612615.1	PRJNA224116	SAMN10024791	RAZI00000000.1	representative genome	2320106	2320106.0	bacterium 1XD42-44	strain=1XD42-44		latest	Contig	Major	Full	2018/10/04	ASM361261v1	Chinese Academy of Science	GCA_003612615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/615/GCF_003612615.1_ASM361261v1			2.0		True	True	mGMB
GCF_003612625.1	PRJNA224116	SAMN10024788	RAZJ00000000.1	representative genome	2320101	2320101.0	bacterium 1XD42-1	strain=1XD42-1		latest	Contig	Major	Full	2018/10/04	ASM361262v1	Chinese Academy of Science	GCA_003612625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/625/GCF_003612625.1_ASM361262v1			2.0		True	True	mGMB
GCF_003612665.1	PRJNA224116	SAMN10024786	RAZL00000000.1	na	28116	28116.0	Bacteroides ovatus	strain=0.1XD42-1		latest	Contig	Major	Full	2018/10/04	ASM361266v1	Chinese Academy of Science	GCA_003612665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/665/GCF_003612665.1_ASM361266v1			2.0		True	True	mGMB
GCF_003669055.1	PRJNA224116	SAMN10024830	RAYB00000000.1	representative genome	2320103	2320103.0	bacterium 1XD21-70	strain=1XD21-70		latest	Contig	Major	Full	2018/10/04	ASM366905v1	Chinese Academy of Science	GCA_003669055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/669/055/GCF_003669055.1_ASM366905v1			2.0		True	True	mGMB
GCF_003670185.1	PRJNA224116	SAMN10024825	RAYG00000000.1	na	2320086	2320086.0	Parabacteroides sp. CH2-D42-20	strain=CH2-D42-20		latest	Contig	Major	Full	2018/10/22	ASM367018v1	Chinese Academy of Science	GCA_003670185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/670/185/GCF_003670185.1_ASM367018v1			2.0		True	True	mGMB
GCF_003670205.1	PRJNA224116	SAMN10024809	RAYS00000000.1	na	85831	85831.0	Bacteroides acidifaciens	strain=0.1xD8-55		latest	Contig	Major	Full	2018/10/22	ASM367020v1	Chinese Academy of Science	GCA_003670205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/670/205/GCF_003670205.1_ASM367020v1			2.0		True	True	mGMB
GCF_003670235.1	PRJNA224116	SAMN10024784	RAZN00000000.1	na	328812	328812.0	Parabacteroides goldsteinii	strain=0.1X-D42-15		latest	Contig	Major	Full	2018/10/22	ASM367023v1	Chinese Academy of Science	GCA_003670235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/670/235/GCF_003670235.1_ASM367023v1			2.0		True	True	mGMB
GCF_003671795.1	PRJNA224116	SAMN10024804	RAYW00000000.1	representative genome	2320122	2320122.0	bacterium J10(2018)	strain=J10		latest	Contig	Major	Full	2018/10/22	ASM367179v1	Chinese Academy of Science	GCA_003671795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/795/GCF_003671795.1_ASM367179v1			2.0		True	True	mGMB
GCF_003671805.1	PRJNA224116	SAMN10024823	RAYI00000000.1	na	823	823.0	Parabacteroides distasonis	strain=8-P5		latest	Contig	Major	Full	2018/10/22	ASM367180v1	Chinese Academy of Science	GCA_003671805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/805/GCF_003671805.1_ASM367180v1			2.0		True	True	mGMB
GCF_003671855.1	PRJNA224116	SAMN10024785	RAZM00000000.1	na	85831	85831.0	Bacteroides acidifaciens	strain=0.1X-D8-26		latest	Contig	Major	Full	2018/10/22	ASM367185v1	Chinese Academy of Science	GCA_003671855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/855/GCF_003671855.1_ASM367185v1			2.0		True	True	mGMB
GCF_003717315.1	PRJNA224116	SAMN09930408	QWKQ00000000.1	na	1280	1280.0	Staphylococcus aureus	strain=JSNZ		latest	Scaffold	Major	Full	2018/11/07	ASM371731v1	Robert Koch Institute	GCA_003717315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/717/315/GCF_003717315.1_ASM371731v1			2.0		True	True	
GCF_003725335.1	PRJNA224116	SAMN09280234	QIBY00000000.1	na	747645	747645.0	Parvibacter caecicola	strain=DSM 22242		latest	Contig	Major	Full	2018/11/13	ASM372533v1	Max Rubner-Institut	GCA_003725335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/725/335/GCF_003725335.1_ASM372533v1		assembly from type material	2.0		True	True	
GCF_003762605.1	PRJNA224116	SAMN10364716	RIBA00000000.1	na	2486462	2486462.0	Muribaculaceae bacterium Isolate-042 (Harlan)	strain=Isolate-042 (Harlan)		latest	Scaffold	Major	Full	2018/11/15	ASM376260v1	UniKlinik RWTH Aachen	GCA_003762605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/605/GCF_003762605.1_ASM376260v1			2.0		False	True	
GCF_003762615.1	PRJNA224116	SAMN10364652	RIAZ00000000.1	na	2486461	2486461.0	Muribaculaceae bacterium Isolate-037 (Harlan)	strain=Isolate-037 (Harlan)		latest	Contig	Major	Full	2018/11/15	ASM376261v1	UniKlinik RWTH Aachen	GCA_003762615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/615/GCF_003762615.1_ASM376261v1			2.0		False	True	
GCF_003762635.1	PRJNA224116	SAMN10364717	RIBB00000000.1	na	2486463	2486463.0	Muribaculaceae bacterium Isolate-043 (Harlan)	strain=Isolate-043 (Harlan)		latest	Contig	Major	Full	2018/11/15	ASM376263v1	UniKlinik RWTH Aachen	GCA_003762635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/635/GCF_003762635.1_ASM376263v1			2.0		False	True	
GCF_003762665.1	PRJNA224116	SAMN10365287	RIBI00000000.1	na	2486470	2486470.0	Muribaculaceae bacterium Isolate-102 (HZI)	strain=Isolate-102 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376266v1	UniKlinik RWTH Aachen	GCA_003762665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/665/GCF_003762665.1_ASM376266v1			2.0		False	True	
GCF_003762685.1	PRJNA224116	SAMN10364747	RIBC00000000.1	na	2486464	2486464.0	Muribaculaceae bacterium Isolate-083 (Janvier)	strain=Isolate-083 (Janvier)		latest	Contig	Major	Full	2018/11/15	ASM376268v1	UniKlinik RWTH Aachen	GCA_003762685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/685/GCF_003762685.1_ASM376268v1			2.0		False	True	
GCF_003762695.1	PRJNA224116	SAMN10364800	RIBH00000000.1	na	2486469	2486469.0	Muribaculaceae bacterium Isolate-100 (HZI)	strain=Isolate-100 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376269v1	UniKlinik RWTH Aachen	GCA_003762695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/695/GCF_003762695.1_ASM376269v1			2.0		False	True	
GCF_003762715.1	PRJNA224116	SAMN10365288	RIBJ00000000.1	na	2486471	2486471.0	Muribaculaceae bacterium Isolate-104 (HZI)	strain=Isolate-104 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376271v1	UniKlinik RWTH Aachen	GCA_003762715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/715/GCF_003762715.1_ASM376271v1			2.0		False	True	
GCF_003762745.1	PRJNA224116	SAMN10365289	RIBK00000000.1	na	2486472	2486472.0	Muribaculaceae bacterium Isolate-105 (HZI)	strain=Isolate-105 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376274v1	UniKlinik RWTH Aachen	GCA_003762745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/745/GCF_003762745.1_ASM376274v1			2.0		False	True	
GCF_003762755.1	PRJNA224116	SAMN10364748	RIBD00000000.1	na	2486465	2486465.0	Muribaculaceae bacterium Isolate-084 (Janvier)	strain=Isolate-084 (Janvier)		latest	Contig	Major	Full	2018/11/15	ASM376275v1	UniKlinik RWTH Aachen	GCA_003762755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/755/GCF_003762755.1_ASM376275v1			2.0		False	True	
GCF_003762805.1	PRJNA224116	SAMN10364745	RIBF00000000.1	na	2486467	2486467.0	Muribaculaceae bacterium Isolate-077 (Janvier)	strain=Isolate-077 (Janvier)		latest	Contig	Major	Full	2018/11/15	ASM376280v1	UniKlinik RWTH Aachen	GCA_003762805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/805/GCF_003762805.1_ASM376280v1			2.0		False	True	
GCF_003762865.1	PRJNA224116	SAMN10365292	RIBM00000000.1	na	2486474	2486474.0	Muribaculaceae bacterium Isolate-113 (HZI)	strain=Isolate-113 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376286v1	UniKlinik RWTH Aachen	GCA_003762865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/865/GCF_003762865.1_ASM376286v1			2.0		False	True	
GCF_003762875.1	PRJNA224116	SAMN10365291	RIBL00000000.1	na	2486473	2486473.0	Muribaculaceae bacterium Isolate-110 (HZI)	strain=Isolate-110 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM376287v1	UniKlinik RWTH Aachen	GCA_003762875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/762/875/GCF_003762875.1_ASM376287v1			2.0		False	True	
GCF_003833075.1	PRJNA224116	SAMN10364651	RIAY00000000.1	na	2486460	2486460.0	Muribaculaceae bacterium Isolate-036 (Harlan)	strain=Isolate-036 (Harlan)		latest	Contig	Major	Full	2018/11/15	ASM383307v1	UniKlinik RWTH Aachen	GCA_003833075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/075/GCF_003833075.1_ASM383307v1			2.0		False	True	
GCF_003833095.1	PRJNA224116	SAMN10365716	RIBN00000000.1	na	2486475	2486475.0	Muribaculaceae bacterium Isolate-114 (HZI)	strain=Isolate-114 (HZI)		latest	Contig	Major	Full	2018/11/15	ASM383309v1	UniKlinik RWTH Aachen	GCA_003833095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/095/GCF_003833095.1_ASM383309v1			2.0		False	True	
GCF_003833175.1	PRJNA224116	SAMN10364659	RIBE00000000.1	na	2486466	2486466.0	Muribaculaceae bacterium Isolate-039 (Harlan)	strain=Isolate-039 (Harlan)		latest	Contig	Major	Full	2018/11/15	ASM383317v1	UniKlinik RWTH Aachen	GCA_003833175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/175/GCF_003833175.1_ASM383317v1			2.0		False	True	
GCF_003851825.1	PRJNA224116	SAMD00144880	BHZA00000000.1	na	573	573.0	Klebsiella pneumoniae	strain=KP-PSC1		latest	Scaffold	Major	Full	2018/11/22	ASM385182v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_003851825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/825/GCF_003851825.1_ASM385182v1			2.0		True	True	
GCF_003865115.1	PRJNA224116	SAMD00144881	BHZB00000000.1	na	573	573.0	Klebsiella pneumoniae	strain=KP-PSC5		latest	Scaffold	Major	Full	2018/11/22	ASM386511v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_003865115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/865/115/GCF_003865115.1_ASM386511v1			2.0		True	True	
GCF_003885045.1	PRJNA224116	SAMN10273262	RHJS00000000.1	representative genome	2044587	2044587.0	Schaedlerella arabinosiphila	strain=DSM 106076		latest	Contig	Major	Full	2018/12/06	ASM388504v1	Temasek Life Sciences Laboratory	GCA_003885045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/885/045/GCF_003885045.1_ASM388504v1		assembly from type material	2.0		True	True	
GCF_003932205.1	PRJNA224116	SAMN08139019	PQNN00000000.1	na	36808	36808.0	Corynebacterium bovis	strain=17-0240 - SMALL		latest	Contig	Major	Full	2018/12/10	ASM393220v1	Bacterial Special Pathogens Branch (CDC)	GCA_003932205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/205/GCF_003932205.1_ASM393220v1			2.0		True	True	
GCF_003932255.1	PRJNA224116	SAMN08139023	PQNU00000000.1	na	36808	36808.0	Corynebacterium bovis	strain=12-5346		latest	Contig	Major	Full	2018/12/10	ASM393225v1	Bacterial Special Pathogens Branch (CDC)	GCA_003932255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/255/GCF_003932255.1_ASM393225v1			2.0		True	True	
GCF_003932275.1	PRJNA224116	SAMN08139020	PQNP00000000.1	na	36808	36808.0	Corynebacterium bovis	strain=16-3465		latest	Contig	Major	Full	2018/12/10	ASM393227v1	Bacterial Special Pathogens Branch (CDC)	GCA_003932275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/275/GCF_003932275.1_ASM393227v1			2.0		True	True	
GCF_003932285.1	PRJNA224116	SAMN08139012	PQNV00000000.1	na	36808	36808.0	Corynebacterium bovis	strain=7894		latest	Contig	Major	Full	2018/12/10	ASM393228v1	Bacterial Special Pathogens Branch (CDC)	GCA_003932285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/285/GCF_003932285.1_ASM393228v1			2.0		True	True	
GCF_003932315.1	PRJNA224116	SAMN08139011	PQNL00000000.1	na	36808	36808.0	Corynebacterium bovis	strain=CUAMC1 - SMALL		latest	Contig	Major	Full	2018/12/10	ASM393231v1	Bacterial Special Pathogens Branch (CDC)	GCA_003932315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/315/GCF_003932315.1_ASM393231v1			2.0		True	True	
